"OIDcom","m_cf_noloss","incap","NZAu_maj","export","bin","TXlength_km","TXcost_maud2021","m_elev","NZAu_site","txAll_aud_kw","TXcost_maud2021_spur","TXcost_maud2021_s2l","spurLength_km","TXspurType","TXspurTypeMax_MW","TXbulkSinkType","SA2oid","lcoe2050_maud2021_mwh"
2512,0.650311511176771,2295.9666082764,"ex-wa",1,4,317.747875,1100.14753009269,-112.702239789196,NA,479.165300630647,1100.14753009269,0,399.04378125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.4542098544204
2492,0.652198556100528,2327.6,"ex-wa",1,4,303.57578125,1134.30490174639,-129.991611531191,NA,487.328106954112,1134.30490174639,0,384.8716875,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.2641177438494
2362,0.61165397182332,2325.125,"ex-wa",1,4,363.46534375,1174.93033995977,-41.0609107037257,NA,505.319215078661,1174.93033995977,0,194.639734375,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,74.6948142698684
2532,0.652662924010283,2323.75,"ex-wa",1,4,336.7265,1187.22664306108,-110.614792899408,NA,510.909797982175,1187.22664306108,0,418.02240625,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.4271733517415
2400,0.628377513395075,2327.6,"ex-wa",1,4,346.33465625,1194.53524843725,-56.6551275992438,NA,513.204695152627,1194.53524843725,0,382.5885,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,72.7162936608491
2511,0.652027446895498,2327.6,"ex-wa",1,4,337.53809375,1200.58270606643,-129.002717391304,NA,515.802846737597,1200.58270606643,0,418.834,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.5276124691887
2343,0.620032336502999,2327.6,"ex-wa",1,4,369.65059375,1213.38989815886,-41.1832466918716,NA,521.305163326542,1213.38989815886,0,200.8590625,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,73.7995488984517
2493,0.648622167896274,2160.90163404006,"ex-wa",1,4,281.1856875,1132.48339909985,-92.2712231131476,NA,524.079107193113,1132.48339909985,0,362.48159375,"500kV_HVDC_2xdouble_subsea__2250MW",2250,"500kV_HVAC_double__3040MW",201,71.8253644469223
2305,0.561920519918377,2250.88915898139,"ex-wa",1,4,412.37428125,1184.85473133146,-32.5783367932593,NA,526.394081469409,1184.85473133146,0,24.8553320312,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,81.5762107167581
2380,0.635787816348277,2327.6,"ex-wa",1,4,363.67428125,1249.15453574132,-53.6382325141776,NA,536.670620270371,1249.15453574132,0,400.0105625,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,72.0506841314116
2491,0.650119333171444,2327.6,"ex-wa",1,4,350.04409375,1267.12342357809,-146.650401701323,NA,544.39054114886,1267.12342357809,0,431.34003125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,71.9357419802721
2361,0.631546625048043,2327.6,"ex-wa",1,4,384.19709375,1273.72739867238,-49.6791115311909,NA,547.227787709394,1273.72739867238,0,215.3498125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,72.646053523886
2469,0.647385509019584,2327.6,"ex-wa",1,4,335.592125,1285.74342815983,-169.636814744802,NA,552.390199415634,1285.74342815983,0,416.88803125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,72.2544940476074
2573,0.64485416644896,2275.35,"ex-wa",1,4,390.32621875,1259.15345077551,-107.998187092096,NA,553.388907541919,1259.15345077551,0,471.622125,"500kV_HVDC_2xdouble_subsea__3000MW",3000,"500kV_HVAC_double__3040MW",201,72.6689869231976
